fnr,fnavn,sick_pct,year_q,pop,agegroup0_share,agegroup10_share,agegroup20_share,agegroup30_share,agegroup40_share,agegroup50_share,agegroup60_share,agegroup70_share,agegroup80_share,agegroup90_share,age_avg,uniwork_share,femalework_share,healthsoc_share,pub_defense_socins_share,post,quarters
9,Aust-Agder,5.9,2012,111495,0.12290237,0.13567424,0.12096506,0.12814924,0.14118122,0.13182653,0.11491098,0.061123818,0.034880489,0.008386026,38.976395,0.30156848,0.53270108,0.20862666,0.058508117,0,17
9,Aust-Agder,6.3,2013,112772,0.12373639,0.13320683,0.12132444,0.12711489,0.14157769,0.12988153,0.11763559,0.063180573,0.033855923,0.008486149,39.102577,0.30796465,0.53035116,0.2087896,0.058858957,0,21
9,Aust-Agder,6.2,2014,113747,0.12373953,0.13110675,0.12234168,0.12532198,0.14192022,0.12929572,0.1194493,0.064942375,0.033319559,0.008562863,39.248295,,,,,1,25
9,Aust-Agder,6.2,2015,114767,0.12263978,0.12958428,0.12252651,0.12481811,0.14139953,0.12863454,0.12046146,0.06852144,0.032927584,0.00848676,39.445335,,,,,1,29
10,Vest-Agder,6,2008,165944,0.1303512,0.14559731,0.12724775,0.13720894,0.13997494,0.12152293,0.093875043,0.059441738,0.038061034,0.006719134,37.637611,0.26605016,0.5356161,0.19151108,0.043929778,0,1
10,Vest-Agder,6.3,2009,168233,0.13011122,0.14413938,0.12875596,0.13617423,0.13987744,0.12137333,0.096318796,0.05871024,0.037507504,0.007031914,37.681099,0.27893946,0.53343278,0.19830604,0.046260837,0,5
10,Vest-Agder,6.1,2010,170377,0.12981212,0.14351702,0.12961257,0.13415544,0.14102842,0.12124289,0.097384036,0.059356604,0.036536623,0.007354279,37.723976,0.28322366,0.5306353,0.20623071,0.045163918,0,9
10,Vest-Agder,6.3,2011,172408,0.12975036,0.14110714,0.13104381,0.13292307,0.14107814,0.12170549,0.09941534,0.059689805,0.035410188,0.007876664,37.815601,0.28720623,0.52995497,0.2081822,0.046023466,0,13
10,Vest-Agder,5.8,2012,174324,0.1289897,0.13943003,0.13236272,0.13114659,0.14180492,0.12243294,0.10154655,0.059343521,0.035061151,0.007881875,37.920135,0.30275837,0.53468835,0.20625521,0.046445433,0,17
10,Vest-Agder,5.9,2013,176353,0.12942223,0.1368732,0.13344826,0.13030116,0.14238487,0.12222077,0.10327581,0.059647411,0.034680441,0.007745828,37.98563,0.30972132,0.53321141,0.20597298,0.046016321,0,21
10,Vest-Agder,5.6,2014,178478,0.13002163,0.13466085,0.13467766,0.12902991,0.14136197,0.12285548,0.10424254,0.061290469,0.034105044,0.007754457,38.080627,,,,,1,25
10,Vest-Agder,5.5,2015,180877,0.12913196,0.13280295,0.13621411,0.12789907,0.14015049,0.12409538,0.10418683,0.063910834,0.033951249,0.007657137,38.235935,,,,,1,29
11,Rogaland,4.9,2008,412687,0.13997534,0.14456235,0.13432941,0.14835456,0.14106575,0.11928411,0.083608158,0.05067521,0.032210853,0.005934279,36.256474,0.26679817,0.53790361,0.16668339,0.038573492,0,1
11,Rogaland,5.1,2009,420574,0.13885784,0.14312106,0.13592376,0.14720833,0.14186326,0.11962698,0.085642479,0.050160021,0.031371411,0.006224826,36.329338,0.27892172,0.53480166,0.17424279,0.040726501,0,5
11,Rogaland,4.7,2010,427947,0.13858025,0.14202927,0.13609396,0.14603677,0.14281441,0.11950545,0.087781899,0.049968805,0.030896349,0.006292835,36.389751,0.28232417,0.53662777,0.17473017,0.040259276,0,9
11,Rogaland,5.1,2011,436087,0.13847236,0.14018992,0.13737397,0.14557187,0.1431618,0.11907945,0.089628905,0.049859319,0.030023826,0.006638584,36.429749,0.28516111,0.53779441,0.17530575,0.039444949,0,13
11,Rogaland,4.7,2012,443115,0.13836814,0.13776107,0.13876534,0.14479086,0.14347517,0.11943175,0.091461584,0.049833566,0.02913465,0.006977873,36.518013,0.31219944,0.54099929,0.17316164,0.040045328,0,17
11,Rogaland,4.8,2013,452159,0.1386636,0.13467386,0.140413,0.14559038,0.14345618,0.11886969,0.092390068,0.050382718,0.028593924,0.006966576,36.572311,0.32025588,0.54070097,0.17320336,0.041039228,0,21
11,Rogaland,4.5,2014,459625,0.13842154,0.1329584,0.14122382,0.14551863,0.14296438,0.11867718,0.09332826,0.051946696,0.027979331,0.006981778,36.662468,,,,,1,25
11,Rogaland,4.7,2015,466302,0.13792349,0.13088943,0.1414298,0.14564382,0.14210533,0.1194462,0.093921967,0.054025073,0.027767412,0.006847494,36.818649,,,,,1,29
12,Hordaland,6.2,2008,462674,0.13003324,0.13710734,0.13214272,0.14419223,0.13734077,0.12210757,0.09247116,0.058503397,0.038459044,0.00764253,37.745647,0.30686194,0.52922893,0.1938318,0.046363723,0,1
12,Hordaland,6.4,2009,469681,0.12944317,0.13566868,0.13441889,0.14240091,0.13809372,0.12129083,0.09480264,0.058390696,0.037623409,0.007867042,37.791626,0.31917861,0.52849716,0.19892097,0.050572991,0,5
12,Hordaland,5.8,2010,477175,0.12917902,0.13406193,0.13675486,0.14056478,0.13849846,0.12071881,0.097159326,0.057936817,0.037114266,0.008011736,37.829525,0.32254392,0.52938551,0.20134602,0.050818365,0,9
12,Hordaland,6.3,2011,484240,0.12795928,0.13264291,0.13909838,0.13971998,0.13911697,0.12003139,0.098734096,0.057923757,0.036252685,0.008520569,37.881123,0.32609281,0.52997053,0.20161508,0.050188228,0,13
12,Hordaland,5.8,2012,490570,0.12753531,0.1303606,0.14105633,0.13895673,0.13944188,0.12025399,0.10036692,0.057706341,0.03565852,0.008663392,37.957657,0.34638223,0.53438646,0.19778611,0.05068896,0,17
12,Hordaland,6.1,2013,498135,0.12714626,0.12842302,0.14263001,0.13920523,0.13932167,0.1196764,0.10191615,0.058050528,0.034922261,0.008708483,38.013775,0.35364941,0.53488266,0.19630672,0.051382143,0,21
12,Hordaland,5.5,2014,505246,0.12636617,0.12640971,0.14489575,0.13859585,0.13952015,0.11929832,0.10287662,0.058868352,0.034349605,0.008819467,38.104717,,,,,1,25
12,Hordaland,5.7,2015,511357,0.12541336,0.12474064,0.14611319,0.13822828,0.1391122,0.11958768,0.10313343,0.060900703,0.033751372,0.009019139,38.230667,,,,,1,29
